2016-02-16,76.92,60,96.77,75.86
2016-02-12,15.38,22.86,0,58.62
2016-02-11,0,0,9.68,0
2016-02-10,74.36,51.43,54.84,27.59
2016-02-09,5.13,40,16.13,51.72
2016-02-08,64.1,85.71,16.13,13.79
2016-02-05,89.74,85.71,90.32,68.97
2016-02-04,100,100,100,93.1
2016-02-03,79.49,60,74.19,100
2016-02-02,97.44,97.14,93.55,82.76
