2016-02-16,39.13,35,62.5,47.62
2016-02-12,17.39,30,41.67,33.33
2016-02-11,69.57,70,41.67,42.86
2016-02-10,100,100,75,71.43
2016-02-09,78.26,90,100,100
2016-02-08,100,100,41.67,38.1
2016-02-05,17.39,65,41.67,38.1
2016-02-04,0,0,0,14.29
2016-02-03,43.48,35,20.83,0
2016-02-02,43.48,35,66.67,47.62
