2016-02-16,27.27,36.36,32,30.77
2016-02-12,27.27,27.27,36,34.62
2016-02-11,9.09,9.09,4,19.23
2016-02-10,0,0,16,15.38
2016-02-09,0,0,16,15.38
2016-02-08,9.09,18.18,24,30.77
2016-02-05,100,100,0,0
2016-02-04,95.45,95.45,100,96.15
2016-02-03,54.55,100,64,100
2016-02-02,50,50,60,57.69
